plan_id,state,metal_level,rate,rate_area
99250FA3947215,AK,Silver,580.0,1
06457YA5248140,AK,Silver,580.0,1
11285MV9931371,AK,Silver,597.0,1
37602UK5242536,AK,Silver,604.0,1
62631IG9187646,AK,Silver,635.0,1
52101LS0923184,AK,Silver,638.0,1
74551EQ8141765,AK,Silver,664.0,1
54381CN9082654,AK,Silver,568.0,2
67285WZ9370789,AK,Silver,569.0,2
20268OL5980435,AK,Silver,585.0,2
08401RO4108353,AK,Silver,592.0,2
35813FX0048300,AK,Silver,622.0,2
83259YD0857559,AK,Silver,625.0,2
00071FP4083598,AK,Silver,651.0,2
78985VX8595382,AK,Silver,546.0,3
73200BV2526412,AK,Silver,546.0,3
30326AY2879036,AK,Silver,561.0,3
38240VL8006581,AK,Silver,569.0,3
90890EW9472063,AK,Silver,597.0,3
51515CK9305826,AK,Silver,600.0,3
02947JT2282890,AK,Silver,625.0,3
64563VA0846861,AL,Silver,251.03,1
42779SF6782635,AL,Silver,256.21,1
24848KC5063721,AL,Silver,264.84,1
50235UK0770884,AL,Silver,266.34,1
90611RU8576490,AL,Silver,271.37,1
04839JA1134026,AL,Silver,271.77,1
04751XT0241314,AL,Silver,261.66,2
31595LL1746365,AL,Silver,277.55,2
64625YH1566980,AL,Silver,304.67,2
11020SB1151709,AL,Silver,321.43,2
90884WN5801293,AL,Silver,323.25,2
42969RD1210186,AL,Silver,329.34,2
13128DD1397703,AL,Silver,255.57,3
97616DE1497555,AL,Silver,257.8,3
36329OK6472661,AL,Silver,271.98,3
19166LI1181393,AL,Silver,272.56,3
03801QV0301694,AL,Silver,273.52,3
01063WR6693122,AL,Silver,278.68,3
31361MP3188896,AL,Silver,289.12,3
38637BG6812862,AL,Silver,261.66,4
43373PS4672301,AL,Silver,277.55,4
07450SA7766209,AL,Silver,304.93,4
27219DL2723198,AL,Silver,321.7,4
26651FV9470102,AL,Silver,323.54,4
00102EI7124448,AL,Silver,329.63,4
98264JW0214194,AL,Silver,256.21,5
01100AO4222848,AL,Silver,271.77,5
92138XX2856832,AL,Silver,279.68,5
31972CB5367294,AL,Silver,295.05,5
30370ZH6293095,AL,Silver,296.73,5
65782KV3372650,AL,Silver,302.33,5
52161YL6358432,AL,Silver,245.82,6
26092HW2296905,AL,Silver,259.34,6
45319RX5310887,AL,Silver,260.81,6
38075QB6907575,AL,Silver,261.66,6
78252DS9703378,AL,Silver,265.73,6
79594GU0848192,AL,Silver,277.55,6
69353DK9015936,AL,Silver,237.13,7
44721DH4629331,AL,Silver,251.53,7
93789HV9381168,AL,Silver,324.98,7
25843MR3232129,AL,Silver,342.85,7
79113BU1788705,AL,Silver,344.81,7
76110WO5460367,AL,Silver,351.31,7
46021PJ7454999,AL,Silver,248.94,8
72404YS5031234,AL,Silver,256.21,8
78348LR8422927,AL,Silver,262.63,8
14601CZ6820013,AL,Silver,264.13,8
89885YK0256118,AL,Silver,269.11,8
74985TS1756968,AL,Silver,271.77,8
51078SW6533977,AL,Silver,248.43,9
17954BD8512957,AL,Silver,259.94,9
29231FD7079280,AL,Silver,262.08,9
09749SI9323870,AL,Silver,263.58,9
10389BY7675191,AL,Silver,268.55,9
98906RK3182338,AL,Silver,279.37,9
11077ML7146151,AL,Silver,296.35,9
70540SP7210976,AL,Silver,235.92,10
32050ZY7516649,AL,Silver,248.9,10
07821FY9296826,AL,Silver,250.31,10
79355TW1242036,AL,Silver,255.03,10
94369SV1914242,AL,Silver,261.66,10
41901EK1459990,AL,Silver,277.55,10
82065QL7561635,AL,Silver,248.17,11
28130ET1465358,AL,Silver,256.21,11
31507CI3685181,AL,Silver,261.81,11
84233GD1213907,AL,Silver,263.3,11
